8400;-99.864291;14.072672;-18.090483;9.537852;-18.167254;3.098212;-15.493734;-3.723078;-10.187836;-9.467890;-3.720460;-12.881781;2.262296;-13.821460;7.168377;-12.852034;10.785176;-10.362509;13.066150;-6.692436;14.029176;-1.874452;13.310668;3.719793;10.475752;9.284243;5.989556;13.680125;1.022886;16.152881;-3.270178;16.895488
8700;-103.431227;14.575267;-18.736886;9.878288;-18.816330;3.208611;-16.047275;-3.856299;-10.551777;-9.806334;-3.853313;-13.342168;2.343145;-14.315369;7.424515;-13.311282;11.170597;-10.732733;13.533067;-6.931570;14.530502;-1.941488;13.786364;3.852650;10.850163;9.615944;6.203701;14.168914;1.059662;16.730005;-3.386788;17.499194
9000;-106.998164;15.077862;-19.383289;10.218722;-19.465405;3.319009;-16.600817;-3.989519;-10.915718;-10.144778;-3.986165;-13.802556;2.423994;-14.809277;7.680653;-13.770530;11.556018;-11.102954;13.999984;-7.170703;15.031828;-2.008524;14.262060;3.985506;11.224573;9.947645;6.417846;14.657703;1.096439;17.307128;-3.503396;18.102900
9300;-110.565100;15.580457;-20.029692;10.559155;-20.114480;3.429407;-17.154358;-4.122740;-11.279659;-10.483221;-4.119017;-14.262943;2.504843;-15.303185;7.936790;-14.229777;11.941438;-11.473174;14.466901;-7.409836;15.533154;-2.075560;14.737756;4.118363;11.598983;10.279345;6.631990;15.146493;1.133216;17.884251;-3.620004;18.706605
9600;-114.132036;16.083052;-20.676095;10.899588;-20.763554;3.539804;-17.707899;-4.255960;-11.643599;-10.821664;-4.251869;-14.723330;2.585691;-15.797093;8.192927;-14.689023;12.326859;-11.843394;14.933817;-7.648969;16.034479;-2.142596;15.213452;4.251219;11.973393;10.611045;6.846135;15.635281;1.169994;18.461373;-3.736612;19.310310
9900;-117.698972;16.585647;-21.322498;11.240020;-21.412628;3.650201;-18.261440;-4.389180;-12.007539;-11.160107;-4.384721;-15.183717;2.666539;-16.291000;8.449064;-15.148269;12.712279;-12.213613;15.400732;-7.888102;16.535803;-2.209633;15.689147;4.384074;12.347802;10.942745;7.060279;16.124070;1.206772;19.038495;-3.853218;19.914015
10200;-121.265909;17.088242;-21.968901;11.580452;-22.061702;3.760598;-18.814981;-4.522400;-12.371478;-11.498550;-4.517572;-15.644103;2.747387;-16.784907;8.705200;-15.607515;13.097699;-12.583831;15.867648;-8.127235;17.037127;-2.276669;16.164843;4.516929;12.722211;11.274444;7.274423;16.612859;1.243550;19.615616;-3.969824;20.517719
10500;-124.832845;17.590837;-22.615303;11.920883;-22.710776;3.870995;-19.368521;-4.655619;-12.735418;-11.836992;-4.650423;-16.104489;2.828234;-17.278813;8.961335;-16.066760;13.483119;-12.954048;16.334563;-8.366368;17.538451;-2.343706;16.640538;4.649784;13.096620;11.606144;7.488566;17.101647;1.280329;20.192737;-4.086429;21.121423
10800;-128.399781;18.093432;-23.261705;12.261313;-23.359849;3.981391;-19.922062;-4.788839;-13.099357;-12.175435;-4.783273;-16.564875;2.909082;-17.772719;9.217471;-16.526005;13.868538;-13.324265;16.801478;-8.605501;18.039774;-2.410743;17.116232;4.782639;13.471028;11.937843;7.702710;17.590435;1.317109;20.769857;-4.203034;21.725126
11100;-131.966717;18.596027;-23.908107;12.601742;-24.008922;4.091787;-20.475602;-4.922058;-13.463296;-12.513877;-4.916124;-17.025261;2.989929;-18.266624;9.473606;-16.985250;14.253958;-13.694481;17.268392;-8.844633;18.541097;-2.477780;17.591927;4.915493;13.845436;12.269542;7.916853;18.079223;1.353888;21.346977;-4.319638;22.328830
11400;-135.533653;19.098622;-24.554509;12.942171;-24.657995;4.202183;-21.029142;-5.055278;-13.827235;-12.852319;-5.048974;-17.485647;3.070777;-18.760529;9.729741;-17.444494;14.639377;-14.064696;17.735307;-9.083765;19.042419;-2.544818;18.067621;5.048348;14.219844;12.601241;8.130997;18.568011;1.390668;21.924097;-4.436241;22.932533
11700;-139.100589;19.601217;-25.200911;13.282599;-25.307067;4.312578;-21.582682;-5.188497;-14.191173;-13.190761;-5.181824;-17.946033;3.151624;-19.254434;9.985876;-17.903738;15.024797;-14.434911;18.202221;-9.322897;19.543741;-2.611855;18.543315;5.181202;14.594252;12.932940;8.345140;19.056799;1.427449;22.501216;-4.552844;23.536235
12000;-142.667525;20.103812;-25.847313;13.623027;-25.956139;4.422974;-22.136222;-5.321716;-14.555112;-13.529203;-5.314673;-18.406418;3.232471;-19.748338;10.242010;-18.362982;15.410216;-14.805126;18.669134;-9.562029;20.045063;-2.678893;19.019009;5.314056;14.968659;13.264639;8.559283;19.545586;1.464229;23.078335;-4.669447;24.139938
12300;-146.234461;20.606407;-26.493714;13.963455;-26.605211;4.533369;-22.689761;-5.454935;-14.919050;-13.867644;-5.447523;-18.866804;3.313318;-20.242243;10.498144;-18.822226;15.795635;-15.175340;19.136048;-9.801160;20.546384;-2.745931;19.494703;5.446909;15.343066;13.596337;8.773426;20.034374;1.501010;23.655453;-4.786049;24.743640
12600;-149.801397;21.109002;-27.140116;14.303881;-27.254283;4.643763;-23.243301;-5.588154;-15.282988;-14.206086;-5.580372;-19.327189;3.394165;-20.736147;10.754278;-19.281469;16.181054;-15.545553;19.602961;-10.040292;21.047705;-2.812970;19.970397;5.579763;15.717473;13.928036;8.987569;20.523161;1.537792;24.232572;-4.902651;25.347342
12900;-153.368333;21.611597;-27.786517;14.644308;-27.903355;4.754158;-23.796840;-5.721372;-15.646926;-14.544527;-5.713221;-19.787574;3.475012;-21.230050;11.010411;-19.740712;16.566473;-15.915766;20.069874;-10.279423;21.549026;-2.880009;20.446090;5.712616;16.091880;14.259734;9.201711;21.011948;1.574573;24.809689;-5.019252;25.951044
13200;-156.935269;22.114192;-28.432918;14.984734;-28.552426;4.864552;-24.350379;-5.854591;-16.010863;-14.882968;-5.846070;-20.247959;3.555858;-21.723954;11.266545;-20.199955;16.951891;-16.285979;20.536787;-10.518555;22.050346;-2.947048;20.921783;5.845469;16.466287;14.591432;9.415854;21.500735;1.611355;25.386807;-5.135853;26.554746
13500;-160.502206;22.616787;-29.079319;15.325160;-29.201497;4.974947;-24.903919;-5.987809;-16.374801;-15.221410;-5.978919;-20.708344;3.636705;-22.217857;11.522679;-20.659197;17.337310;-16.656192;21.003700;-10.757686;22.551666;-3.014088;21.397477;5.978322;16.840693;14.923129;9.629996;21.989522;1.648137;25.963924;-5.252453;27.158447
13800;-164.069142;23.119382;-29.725720;15.665584;-29.850568;5.085341;-25.457458;-6.121028;-16.738738;-15.559851;-6.111767;-21.168728;3.717552;-22.711760;11.778812;-21.118440;17.722728;-17.026404;21.470613;-10.996817;23.052986;-3.081127;21.873170;6.111175;17.215099;15.254827;9.844138;22.478309;1.684919;26.541041;-5.369053;27.762148
14100;-167.636078;23.621977;-30.372121;16.006009;-30.499639;5.195735;-26.010997;-6.254246;-17.102675;-15.898292;-6.244616;-21.629113;3.798398;-23.205663;12.034945;-21.577682;18.108146;-17.396615;21.937525;-11.235948;23.554306;-3.148166;22.348863;6.244028;17.589506;15.586524;10.058281;22.967096;1.721701;27.118158;-5.485653;28.365849
14400;-171.203014;24.124572;-31.018522;16.346432;-31.148710;5.306128;-26.564536;-6.387464;-17.466612;-16.236733;-6.377464;-22.089498;3.879244;-23.699565;12.291078;-22.036924;18.493564;-17.766826;22.404437;-11.475078;24.055625;-3.215206;22.824555;6.376880;17.963912;15.918222;10.272423;23.455883;1.758484;27.695274;-5.602252;28.969550
14700;-174.769950;24.627167;-31.664923;16.686855;-31.797781;5.416522;-27.118075;-6.520682;-17.830549;-16.575174;-6.510312;-22.549882;3.960091;-24.193468;12.547211;-22.496165;18.878982;-18.137036;22.871349;-11.714209;24.556945;-3.282245;23.300248;6.509733;18.338318;16.249919;10.486565;23.944670;1.795267;28.272391;-5.718851;29.573251
15000;-178.336886;25.129762;-32.311323;17.027278;-32.446851;5.526916;-27.671613;-6.653900;-18.194486;-16.913614;-6.643160;-23.010267;4.040937;-24.687370;12.803344;-22.955407;19.264400;-18.507246;23.338261;-11.953340;25.058264;-3.349285;23.775941;6.642585;18.712723;16.581616;10.700707;24.433456;1.832050;28.849507;-5.835450;30.176952
15300;-181.903822;25.632356;-32.957724;17.367700;-33.095921;5.637309;-28.225152;-6.787118;-18.558423;-17.252055;-6.776008;-23.470651;4.121783;-25.181272;13.059476;-23.414648;19.649818;-18.877456;23.805173;-12.192470;25.559582;-3.416325;24.251633;6.775437;19.087129;16.913314;10.914848;24.922243;1.868833;29.426623;-5.952048;30.780652
15600;-185.470757;26.134951;-33.604124;17.708121;-33.744991;5.747702;-28.778691;-6.920336;-18.922359;-17.590496;-6.908856;-23.931035;4.202630;-25.675174;13.315609;-23.873889;20.035236;-19.247664;24.272085;-12.431601;26.060901;-3.483365;24.727325;6.908289;19.461535;17.245011;11.128990;25.411029;1.905617;30.003738;-6.068647;31.384352
15900;-189.037693;26.637546;-34.250525;18.048543;-34.394061;5.858096;-29.332229;-7.053554;-19.286296;-17.928936;-7.041703;-24.391419;4.283476;-26.169075;13.571741;-24.333130;20.420653;-19.617873;24.738996;-12.670731;26.562220;-3.550405;25.203018;7.041141;19.835940;17.576708;11.343132;25.899815;1.942400;30.580854;-6.185244;31.988052
16200;-192.604629;27.140141;-34.896925;18.388964;-35.043131;5.968489;-29.885768;-7.186772;-19.650232;-18.267377;-7.174551;-24.851803;4.364323;-26.662977;13.827873;-24.792371;20.806071;-19.988081;25.205908;-12.909861;27.063538;-3.617445;25.678710;7.173993;20.210345;17.908405;11.557273;26.388602;1.979184;31.157969;-6.301842;32.591752
16500;-196.171565;27.642736;-35.543326;18.729385;-35.692201;6.078882;-30.439306;-7.319989;-20.014169;-18.605817;-7.307398;-25.312187;4.445169;-27.156878;14.084005;-25.251612;21.191489;-20.358288;25.672819;-13.148991;27.564856;-3.684485;26.154402;7.306845;20.584750;18.240101;11.771415;26.877388;2.015967;31.735084;-6.418440;33.195452
16800;-199.738501;28.145331;-36.189726;19.069805;-36.341271;6.189275;-30.992844;-7.453207;-20.378105;-18.944258;-7.440246;-25.772571;4.526015;-27.650779;14.340137;-25.710852;21.576906;-20.728496;26.139730;-13.388121;28.066174;-3.751526;26.630094;7.439696;20.959155;18.571798;11.985556;27.366174;2.052751;32.312199;-6.535037;33.799152
